Hours,Wind speed,Wind direction,,
999.5,16.6,2,,
1000.5,16.4,1,,
1001.5,15.9,359,,
1002.5,15.5,355,,
1003.5,15.4,352,,
1004.5,15.3,352,,
1005.5,15.2,351,,
1006.5,15,350,,
1007.5,14.9,349,,
1008.5,14.8,349,,
1009.5,14.7,350,,
1010.5,14.5,351,,
1011.5,14.4,351,,
1012.5,14.2,351,,
1013.5,14.2,352,,
1014.5,14.4,351,,
1015.5,15.1,351,,
1016.5,15.7,355,,
1017.5,15.9,1,,
1018.5,15.8,6,,
1019.5,15.7,8,,
1020.5,15.7,8,,
1021.5,15.7,7,,
1022.5,15.8,7,,
1023.5,15.9,7,,
1024.5,15.7,7,,
1025.5,15.3,6,,
1026.5,15,3,,
1027.5,14.9,360,,
1028.5,14.8,357,,
1029.5,14.7,356,,
1030.5,14.5,356,,
1031.5,14.4,356,,
1032.5,14.4,354,,
1033.5,14.4,351,,
1034.5,14.5,350,,
1035.5,14.6,350,,
1036.5,14.5,349,,
1037.5,14.4,349,,
1038.5,14.5,350,,
1039.5,15.1,350,,
1040.5,15.5,355,,
1041.5,15.5,2,,
1042.5,15.2,7,,
1043.5,14.9,7,,
1044.5,14.8,6,,
1045.5,14.8,4,,
1046.5,15,3,,
1047.5,15.3,1,,
1048.5,15.4,1,,
1049.5,15.3,0,,
1050.5,15.1,0,,
1051.5,14.9,1,,
1052.5,14.6,0,,
1053.5,14.4,359,,
1054.5,14.3,356,,
1055.5,14.3,353,,
1056.5,14.2,351,,
1057.5,14.1,350,,
1058.5,13.9,350,,
1059.5,13.9,350,,
1060.5,13.8,350,,
1061.5,13.8,350,,
1062.5,14.1,350,,
1063.5,14.8,352,,
1064.5,15.2,358,,
1065.5,15.1,3,,
1066.5,14.8,6,,
1067.5,14.5,7,,
1068.5,14.2,6,,
1069.5,14,4,,
1070.5,14,2,,
1071.5,14,1,,
1072.5,14.1,1,,
1073.5,13.9,359,,
1074.5,13.7,356,,
1075.5,13.6,356,,
1076.5,13.5,356,,
1077.5,13.4,356,,
1078.5,13.1,352,,
1079.5,12.9,347,,
1080.5,12.8,344,,
1081.5,12.7,342,,
1082.5,12.6,342,,
1083.5,12.4,344,,
1084.5,12.3,346,,
1085.5,12.1,347,,
1086.5,12.4,347,,
1087.5,12.8,348,,
1088.5,12.6,354,,
1089.5,11.9,359,,
1090.5,11.2,4,,
1091.5,10.5,12,,
1092.5,9.9,27,,
1093.5,9.6,55,,
1094.5,9.8,116,,
1095.5,10.5,160,,
1096.5,10.9,173,,
1097.5,10.8,179,,
1098.5,10.7,186,,
1099.5,10.8,186,,
1100.5,10.8,186,,
1101.5,10.6,184,,
1102.5,10.5,180,,
1103.5,10.3,174,,
1104.5,10.2,170,,
1105.5,10.2,168,,
1106.5,10.2,166,,
1107.5,10.3,165,,
1108.5,10.3,164,,
1109.5,10.4,163,,
1110.5,11,164,,
1111.5,11.9,166,,
1112.5,12.3,172,,
1113.5,12.4,176,,
1114.5,12.4,175,,
1115.5,12.4,172,,
1116.5,12.4,171,,
1117.5,12.3,169,,
1118.5,12.1,167,,
1119.5,11.6,167,,
1120.5,10.8,168,,
1121.5,9.9,172,,
1122.5,9.4,196,,
1123.5,9.9,310,,
1124.5,11.9,348,,
1125.5,14.2,356,,
1126.5,15.8,355,,
1127.5,16.4,352,,
1128.5,16.5,347,,
1129.5,16.9,345,,
1130.5,17.3,344,,
1131.5,17.5,344,,
1132.5,17.7,344,,
1133.5,17.9,344,,
1134.5,18.3,344,,
1135.5,19.1,344,,
1136.5,20,346,,
1137.5,20.3,348,,
1138.5,20.3,349,,
1139.5,20.3,350,,
1140.5,20.3,351,,
1141.5,20.2,353,,
1142.5,20.1,354,,
1143.5,19.9,354,,
1144.5,19.5,353,,
1145.5,19,352,,
1146.5,18.7,351,,
1147.5,18.7,351,,
1148.5,18.6,351,,
1149.5,18.4,351,,
1150.5,18.3,352,,
1151.5,18.2,352,,
1152.5,18.1,352,,
1153.5,17.9,351,,
1154.5,17.8,351,,
1155.5,17.7,351,,
1156.5,17.6,351,,
1157.5,17.5,351,,
1158.5,17.6,351,,
1159.5,18.2,351,,
1160.5,18.9,352,,
1161.5,19.3,352,,
1162.5,19.5,353,,
1163.5,19.5,354,,
1164.5,19.5,355,,
1165.5,19.4,357,,
1166.5,19.2,358,,
1167.5,18.9,359,,
1168.5,18.5,359,,
